Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
14-Dec-2017,INE906B07FT4 ,99.3071,100.00,100.00,7.4352,99.3071,7.4352
14-Dec-2017,INE558T07024 ,98.9719,4000.00,4000.00,9.2375,98.9719,9.2375
14-Dec-2017,INE053F07AA7 ,97.9800,340.00,5360.00,7.7911,99.9296,7.4925
14-Dec-2017,INE774D08MK5 ,98.2210,40.00,40.00,8.2650,98.2210,8.2650
14-Dec-2017,INE248U07681 ,109.9090,1300.00,1300.00,9.0000,109.9090,9.0000
14-Dec-2017,INE248U07608 ,110.2190,400.00,400.00,9.0000,110.2190,9.0000
14-Dec-2017,INE248U07632 ,110.0110,1000.00,1000.00,9.0000,110.0110,9.0000
14-Dec-2017,INE248U07640 ,109.8190,1500.00,1500.00,9.0000,109.8190,9.0000
14-Dec-2017,INE248U07657 ,109.8060,1800.00,1800.00,9.0000,109.8060,9.0000
14-Dec-2017,INE248U07665 ,109.8050,3000.00,3000.00,9.0000,109.8050,9.0000
14-Dec-2017,INE248U07673 ,109.6450,3200.00,3200.00,9.0000,109.6450,9.0000
14-Dec-2017,INE248U07699 ,109.3840,1950.00,1950.00,9.0000,109.3840,9.0000
14-Dec-2017,INE248U07707 ,106.3590,300.00,300.00,9.0000,106.3590,9.0000
14-Dec-2017,INE248U07723 ,106.2360,2100.00,2100.00,9.0000,106.2360,9.0000
